"id","question","answer","wrongAnswer1","wrongAnswer2","wrongAnswer3","categoryId","createdById","createdAt","updatedAt","status"
"clv7q1crd0006af0jdnt05w6c","Ich bin cool Ja","Ja","Nein",,,"clv7q04zo0004af0jd79shke7","clv7p7xio0005hht31jqcc0fq","2024-04-20 06:31:34.780","2024-04-21 04:59:55.643","DELETED"
"clv7xyj8i000dsla0x0a9cvsz","Für was steht das J in J. Robert Oppenheimer?","Julius","Jacob","Jeff","Jill","clv7q04ow0000af0j3a4yn4el","clv7p7xio0005hht31jqcc0fq","2024-04-20 10:13:20.221","2024-04-20 13:34:02.264","NORMAL"
"clv7y0mk4000fsla0471ehv04","In welchem Jahr ist Robert Oppenheimer gestorben?","1967","1945","1954","1963","clv7q04ow0000af0j3a4yn4el","clv7p7xio0005hht31jqcc0fq","2024-04-20 10:14:57.840","2024-04-20 10:14:57.840","NORMAL"
"clv7y6kbd000jsla0ta99rzjf","Wie hiess der erste Präsident der USA?","George Washington","Franklin Roosevelt","Theodore Roosevelt","Manning Arlington","clv7q04ow0000af0j3a4yn4el","clv7p7xio0005hht31jqcc0fq","2024-04-20 10:19:34.869","2024-04-20 10:19:34.869","NORMAL"
"clv7ynvf0001bsla0jpw5tn7t","In welchem Jahr kam der Film ""Oppenheimer"" heraus?","2023","2022","2020","2024","clv7q04zo0001af0jcdqctstv","clv7p7xio0005hht31jqcc0fq","2024-04-20 10:33:02.407","2024-04-20 16:02:42.653","NORMAL"
"clv81cewa001fsla0xya9odtw","Mit welcher Tastenkombination speichert man auf Windows eine Datei?","ctrl + s","ctrl + r","shift + s","alt + j","clv7xw6nm0008sla0o32owqc2","clv7p7xio0005hht31jqcc0fq","2024-04-20 11:48:06.607","2024-04-20 11:48:06.607","NORMAL"
"clv849gtt001nsla0nzwlu0dv","gasdfasdfasd","fasd","fasdf",,,"clv7q04ow0000af0j3a4yn4el","clv7p7xio0005hht31jqcc0fq","2024-04-20 13:09:48.013","2024-04-20 15:53:35.803","DELETED"
"clv85a238001psla0bgg81878","WAsasdf asdlfkas?","lfakjs","asdasd",,,"clv7xw6nm0008sla0o32owqc2","clv7p7xio0005hht31jqcc0fq","2024-04-20 13:38:15.184","2024-04-20 15:53:39.526","DELETED"
"clv8b3xrn0015a57u22bl5lhy","Wie hiess die Panik im Jahr 1999, dass alle Computer explodieren werden?","Y2K","COMPUTER2000","2000BOOM","CE2000","clv7q04ow0000af0j3a4yn4el","clv7p7xio0005hht31jqcc0fq","2024-04-20 16:21:27.340","2024-04-21 14:53:34.601","NORMAL"
"clv96l6r9000bcp1iju027avq","In welchem Jahr verlor Robert Oppenheimer seine Sicherheitsfreigabe?","1954","1967","1945","1958","clv7q04ow0000af0j3a4yn4el","clv7p7xio0005hht31jqcc0fq","2024-04-21 07:02:40.133","2024-04-21 07:02:40.133","NORMAL"
"clv9jrh30000lcp1ibdtb7x5g","An welches dieser Länder grenzt die Schweiz nicht?","Portugal","Österreich","Deutschland","Frankreich","clv7xwqp7000bsla0k5fs856f","clv7p7xio0005hht31jqcc0fq","2024-04-21 13:11:28.541","2024-04-21 13:11:28.541","NORMAL"
"clv9jt87r000ncp1iu2n3d65m","Wie viele Staffeln hat die Serie ""The Walking Dead""?","11","10","9","12","clv7q04zo0001af0jcdqctstv","clv7p7xio0005hht31jqcc0fq","2024-04-21 13:12:50.348","2024-04-21 13:12:50.348","NORMAL"
"clv9jwdyn000pcp1i3ks5qpsv","Die Firma HP ist vorallem bekannt für ihre ...","... Computer","... Fenster","... Autos","... Pianos","clv7xw6nm0008sla0o32owqc2","clv7p7xio0005hht31jqcc0fq","2024-04-21 13:15:17.774","2024-04-21 13:15:17.774","NORMAL"
"clv9k09wh000rcp1ipnsu308m","Ein Schaltjahr besteht aus ...",".... 366 Tagen","... 365 Tagen","... 364 Tagen","... 363 Tagen","clv7q04zo0003af0j823lan56","clv7p7xio0005hht31jqcc0fq","2024-04-21 13:18:19.130","2024-04-21 13:18:19.130","NORMAL"
"clv9nbsjh001vcp1ie6e3vgyj","Wie viele Unterschriften braucht man in der Schweiz für eine Volksinitiative?","100'000","50'000","200'000","10'000","clv7q04zo0002af0j4p1kn5is","clv7p7xio0005hht31jqcc0fq","2024-04-21 14:51:15.359","2024-04-21 14:51:15.359","NORMAL"
"clv9nd3q9001xcp1ir6zt2xxd","Wie viele Unterschriften braucht man für ein Referendum in der Schweiz?","50'000","100'000","20'000","40'000","clv7q04zo0002af0j4p1kn5is","clv7p7xio0005hht31jqcc0fq","2024-04-21 14:52:16.522","2024-04-21 14:52:16.522","NORMAL"
"clv9nqwx30021cp1i1f8ifpj9","Wie nennt man die kleine Kammer im nationalen Parlament der Schweiz?","Ständerat","Nationalrat","Bundesrat","Bundestag","clv7q04zo0002af0j4p1kn5is","clv7p7xio0005hht31jqcc0fq","2024-04-21 15:03:00.863","2024-04-21 15:03:00.863","NORMAL"
"clv9ntdw70023cp1i5p6t5dy3","Wie nennt man die grosse Kammer des nationalen Parlaments der Schweiz?","Nationalrat","Ständerat","Bundesrat","Bundeskanzlei","clv7q04zo0002af0j4p1kn5is","clv7p7xio0005hht31jqcc0fq","2024-04-21 15:04:56.165","2024-04-21 15:04:56.165","NORMAL"
"clv9nvjue0025cp1i15dbnn8w","In welchem Interval wird in der Schweiz das Nationale Parlament gewählt?","alle 4 Jahre","alle 2 Jahre","Jedes Jahr","alle 5 Jahre","clv7q04zo0002af0j4p1kn5is","clv7p7xio0005hht31jqcc0fq","2024-04-21 15:06:37.208","2024-04-21 15:06:37.208","NORMAL"
